id,kind,status,detail,path
3dgs_avatar,pdf,present,4519633,papers/3dgs_avatar-3dgs-avatar-animatable-avatars-via-deformable-3d-gaussian-splatting.pdf
3dgs_avatar,page,present,46819,pages/3dgs_avatar-3dgs-avatar-animatable-avatars-via-deformable-3d-gaussian-splatting.html
4d_rotor_gs,pdf,present,50246105,papers/4d_rotor_gs-4d-rotor-gaussian-splatting-towards-efficient-novel-view-synthesis-for-dynamic-s.pdf
4d_rotor_gs,page,present,47338,pages/4d_rotor_gs-4d-rotor-gaussian-splatting-towards-efficient-novel-view-synthesis-for-dynamic-s.html
4dgs,pdf,present,2697388,papers/4dgs-4d-gaussian-splatting-for-real-time-dynamic-scene-rendering.pdf
4dgs,page,present,28651,pages/4dgs-4d-gaussian-splatting-for-real-time-dynamic-scene-rendering.html
4dgt,pdf,present,20683017,papers/4dgt-4dgt-learning-a-4d-gaussian-transformer-using-real-world-monocular-videos.pdf
4dgt,page,present,37918,pages/4dgt-4dgt-learning-a-4d-gaussian-transformer-using-real-world-monocular-videos.html
4k4d,pdf,present,5329369,papers/4k4d-4k4d-real-time-4d-view-synthesis-at-4k-resolution.pdf
4k4d,page,present,6332,pages/4k4d-4k4d-real-time-4d-view-synthesis-at-4k-resolution.html
ahoy,pdf,present,9565141,papers/ahoy-ahoy-animatable-humans-under-occlusion-from-youtube-videos-with-gaussian-splatti.pdf
ahoy,page,present,1552232,pages/ahoy-ahoy-animatable-humans-under-occlusion-from-youtube-videos-with-gaussian-splatti.html
animatable_gaussians,pdf,present,8046155,papers/animatable_gaussians-animatable-gaussians-learning-pose-dependent-gaussian-maps-for-high-fidelity-hum.pdf
animatable_gaussians,page,present,47637,pages/animatable_gaussians-animatable-gaussians-learning-pose-dependent-gaussian-maps-for-high-fidelity-hum.html
ash,pdf,present,5909057,papers/ash-ash-animatable-gaussian-splats-for-efficient-and-photoreal-human-rendering.pdf
ash,page,present,15059,pages/ash-ash-animatable-gaussian-splats-for-efficient-and-photoreal-human-rendering.html
bard_gs,pdf,present,2636122,papers/bard_gs-bard-gs-blur-aware-reconstruction-of-dynamic-scenes-via-gaussian-splatting.pdf
bard_gs,page,present,46546,pages/bard_gs-bard-gs-blur-aware-reconstruction-of-dynamic-scenes-via-gaussian-splatting.html
clocap_gs,pdf,missing,,
clocap_gs,page,present,7690,pages/clocap_gs-clocap-gs-clothed-human-performance-capture-with-3d-gaussian-splatting.html
deblur_avatar,pdf,present,1632823,papers/deblur_avatar-deblur-avatar-animatable-avatars-from-motion-blurred-monocular-videos.pdf
deblur_avatar,page,present,46474,pages/deblur_avatar-deblur-avatar-animatable-avatars-from-motion-blurred-monocular-videos.html
deep_relightable_textures,pdf,present,186765950,papers/deep_relightable_textures-deep-relightable-textures-volumetric-performance-capture-with-neural-rendering.pdf
deep_relightable_textures,page,present,11100,pages/deep_relightable_textures-deep-relightable-textures-volumetric-performance-capture-with-neural-rendering.html
diffuman4d,pdf,present,14715766,papers/diffuman4d-diffuman4d-4d-consistent-human-view-synthesis-from-sparse-view-videos-with-spati.pdf
diffuman4d,page,present,6897,pages/diffuman4d-diffuman4d-4d-consistent-human-view-synthesis-from-sparse-view-videos-with-spati.html
distributed_mlps,pdf,present,7159130,papers/distributed_mlps-real-time-high-fidelity-gaussian-human-avatars-with-position-based-interpolation.pdf
