id,kind,status,detail,path
neural_body,pdf,present,5385385,papers/neural_body-neural-body-implicit-neural-representations-with-structured-latent-codes-for-nov.pdf
neural_body,page,present,10625,pages/neural_body-neural-body-implicit-neural-representations-with-structured-latent-codes-for-nov.html
neuralhumanfvv,pdf,present,6348511,papers/neuralhumanfvv-neuralhumanfvv-real-time-neural-volumetric-human-performance-rendering-using-rgb.pdf
neuralhumanfvv,page,present,8506,pages/neuralhumanfvv-neuralhumanfvv-real-time-neural-volumetric-human-performance-rendering-using-rgb.html
function4d,pdf,present,8528792,papers/function4d-function4d-real-time-human-volumetric-capture-from-very-sparse-consumer-rgbd-sen.pdf
function4d,page,present,47030,pages/function4d-function4d-real-time-human-volumetric-capture-from-very-sparse-consumer-rgbd-sen.html
fewshot_rgbd,pdf,present,15853423,papers/fewshot_rgbd-few-shot-neural-human-performance-rendering-from-sparse-rgbd-videos.pdf
fewshot_rgbd,page,present,12534,pages/fewshot_rgbd-few-shot-neural-human-performance-rendering-from-sparse-rgbd-videos.html
monoport,pdf,present,7736812,papers/monoport-monocular-real-time-volumetric-performance-capture.pdf
monoport,page,present,18714,pages/monoport-monocular-real-time-volumetric-performance-capture.html
neural_human_performer,pdf,present,3621986,papers/neural_human_performer-neural-human-performer-learning-generalizable-radiance-fields-for-human-performa.pdf
neural_human_performer,page,present,18500,pages/neural_human_performer-neural-human-performer-learning-generalizable-radiance-fields-for-human-performa.html
gpnerf,pdf,present,6478083,papers/gpnerf-geometry-guided-progressive-nerf-for-generalizable-and-efficient-neural-human-re.pdf
gpnerf,page,present,48544,pages/gpnerf-geometry-guided-progressive-nerf-for-generalizable-and-efficient-neural-human-re.html
hdhuman,pdf,present,5548575,papers/hdhuman-hdhuman-high-quality-human-novel-view-rendering-from-sparse-views.pdf
hdhuman,page,present,16588,pages/hdhuman-hdhuman-high-quality-human-novel-view-rendering-from-sparse-views.html
human_perf_wild,pdf,present,20027494,papers/human_perf_wild-human-performance-capture-from-monocular-video-in-the-wild.pdf
human_perf_wild,page,present,749646,pages/human_perf_wild-human-performance-capture-from-monocular-video-in-the-wild.html
hifecap,pdf,present,22809137,papers/hifecap-hifecap-monocular-high-fidelity-and-expressive-capture-of-human-performances.pdf
hifecap,page,present,45860,pages/hifecap-hifecap-monocular-high-fidelity-and-expressive-capture-of-human-performances.html
hf_avatar_single_rgb,pdf,present,5865085,papers/hf_avatar_single_rgb-high-fidelity-human-avatars-from-a-single-rgb-camera.pdf
hf_avatar_single_rgb,page,present,8130,pages/hf_avatar_single_rgb-high-fidelity-human-avatars-from-a-single-rgb-camera.html
hosnerf,pdf,present,9133860,papers/hosnerf-hosnerf-dynamic-human-object-scene-neural-radiance-fields-from-a-single-video.pdf
hosnerf,page,present,12097,pages/hosnerf-hosnerf-dynamic-human-object-scene-neural-radiance-fields-from-a-single-video.html
deep_relightable_textures,pdf,present,186765950,papers/deep_relightable_textures-deep-relightable-textures-volumetric-performance-capture-with-neural-rendering.pdf
deep_relightable_textures,page,present,11100,pages/deep_relightable_textures-deep-relightable-textures-volumetric-performance-capture-with-neural-rendering.html
lookingood,pdf,present,1216475,papers/lookingood-lookingood-enhancing-performance-capture-with-real-time-neural-re-rendering.pdf
lookingood,page,present,80940,pages/lookingood-lookingood-enhancing-performance-capture-with-real-time-neural-re-rendering.html
gaussianbody,pdf,present,1965520,papers/gaussianbody-gaussianbody-clothed-human-reconstruction-via-3d-gaussian-splatting.pdf
gaussianbody,page,present,45705,pages/gaussianbody-gaussianbody-clothed-human-reconstruction-via-3d-gaussian-splatting.html
gps_gaussian,pdf,present,3812559,papers/gps_gaussian-gps-gaussian-generalizable-pixel-wise-3d-gaussian-splatting-for-real-time-human-.pdf
gps_gaussian,page,present,45992,pages/gps_gaussian-gps-gaussian-generalizable-pixel-wise-3d-gaussian-splatting-for-real-time-human-.html
gps_gaussian_plus,pdf,present,16580010,papers/gps_gaussian_plus-gps-gaussian-generalizable-pixel-wise-3d-gaussian-splatting-for-real-time-human-.pdf
gps_gaussian_plus,page,present,47264,pages/gps_gaussian_plus-gps-gaussian-generalizable-pixel-wise-3d-gaussian-splatting-for-real-time-human-.html
generalizable_human_gaussians,pdf,present,19207102,papers/generalizable_human_gaussians-generalizable-human-gaussians-for-sparse-view-synthesis.pdf
generalizable_human_gaussians,page,present,22986,pages/generalizable_human_gaussians-generalizable-human-gaussians-for-sparse-view-synthesis.html
gbc_splat,pdf,present,1989681,papers/gbc_splat-gbc-splat-generalizable-gaussian-based-clothed-human-digitalization-under-sparse.pdf
gbc_splat,page,present,6669,pages/gbc_splat-gbc-splat-generalizable-gaussian-based-clothed-human-digitalization-under-sparse.html
clocap_gs,pdf,missing,,
clocap_gs,page,present,7690,pages/clocap_gs-clocap-gs-clothed-human-performance-capture-with-3d-gaussian-splatting.html
hr_human,pdf,present,4871016,papers/hr_human-hr-human-modeling-human-avatars-with-triangular-mesh-and-high-resolution-texture.pdf
hr_human,page,present,46304,pages/hr_human-hr-human-modeling-human-avatars-with-triangular-mesh-and-high-resolution-texture.html
meshavatar,pdf,present,18457433,papers/meshavatar-meshavatar-learning-high-quality-triangular-human-avatars-from-multi-view-videos.pdf
meshavatar,page,present,45923,pages/meshavatar-meshavatar-learning-high-quality-triangular-human-avatars-from-multi-view-videos.html
haha,pdf,present,1860923,papers/haha-haha-highly-articulated-gaussian-human-avatars-with-textured-mesh-prior.pdf
haha,page,present,45752,pages/haha-haha-highly-articulated-gaussian-human-avatars-with-textured-mesh-prior.html
exavatar,pdf,present,5494318,papers/exavatar-expressive-whole-body-3d-gaussian-avatar.pdf
exavatar,page,present,20832,pages/exavatar-expressive-whole-body-3d-gaussian-avatar.html
relightable_avatar_videos,pdf,present,10640647,papers/relightable_avatar_videos-relightable-and-animatable-neural-avatars-from-videos.pdf
relightable_avatar_videos,page,present,10751,pages/relightable_avatar_videos-relightable-and-animatable-neural-avatars-from-videos.html
relightable_avatar_sparseview,pdf,present,8162472,papers/relightable_avatar_sparseview-relightable-and-animatable-neural-avatar-from-sparse-view-video.pdf
relightable_avatar_sparseview,page,present,6514,pages/relightable_avatar_sparseview-relightable-and-animatable-neural-avatar-from-sparse-view-video.html
relighting4d,pdf,present,7566358,papers/relighting4d-relighting4d-neural-relightable-human-from-videos.pdf
relighting4d,page,present,45112,pages/relighting4d-relighting4d-neural-relightable-human-from-videos.html
rana,pdf,present,25106726,papers/rana-rana-relightable-articulated-neural-avatars.pdf
rana,page,present,8105,pages/rana-rana-relightable-articulated-neural-avatars.html
sgia,pdf,present,9386729,papers/sgia-surfel-based-gaussian-inverse-rendering-for-fast-and-relightable-dynamic-human-r.pdf
sgia,page,present,47620,pages/sgia-surfel-based-gaussian-inverse-rendering-for-fast-and-relightable-dynamic-human-r.html
interactive_raga,pdf,present,8961534,papers/interactive_raga-interactive-rendering-of-relightable-and-animatable-gaussian-avatars.pdf
interactive_raga,page,present,10603,pages/interactive_raga-interactive-rendering-of-relightable-and-animatable-gaussian-avatars.html
rnd_gaussian_avatar,pdf,present,5822795,papers/rnd_gaussian_avatar-relightable-and-dynamic-gaussian-avatar-reconstruction-from-monocular-video.pdf
rnd_gaussian_avatar,page,present,49308,pages/rnd_gaussian_avatar-relightable-and-dynamic-gaussian-avatar-reconstruction-from-monocular-video.html
hogs,pdf,present,5191875,papers/hogs-physics-aware-human-object-rendering-from-sparse-views-via-3d-gaussian-splatting.pdf
hogs,page,present,46112,pages/hogs-physics-aware-human-object-rendering-from-sparse-views-via-3d-gaussian-splatting.html
relightable_holoported_characters,pdf,present,15837794,papers/relightable_holoported_characters-relightable-holoported-characters-capturing-and-relighting-dynamic-human-perform.pdf
relightable_holoported_characters,page,present,47953,pages/relightable_holoported_characters-relightable-holoported-characters-capturing-and-relighting-dynamic-human-perform.html
pghm,pdf,present,4668435,papers/pghm-parametric-gaussian-human-model-generalizable-prior-for-efficient-and-realistic-.pdf
pghm,page,present,10057,pages/pghm-parametric-gaussian-human-model-generalizable-prior-for-efficient-and-realistic-.html
distributed_mlps,pdf,present,7159130,papers/distributed_mlps-real-time-high-fidelity-gaussian-human-avatars-with-position-based-interpolation.pdf
distributed_mlps,page,present,7077,pages/distributed_mlps-real-time-high-fidelity-gaussian-human-avatars-with-position-based-interpolation.html
diffuman4d,pdf,present,14715766,papers/diffuman4d-diffuman4d-4d-consistent-human-view-synthesis-from-sparse-view-videos-with-spati.pdf
diffuman4d,page,present,6897,pages/diffuman4d-diffuman4d-4d-consistent-human-view-synthesis-from-sparse-view-videos-with-spati.html
eva,pdf,present,26155488,papers/eva-eva-expressive-virtual-avatars-from-multi-view-videos.pdf
eva,page,present,47973,pages/eva-eva-expressive-virtual-avatars-from-multi-view-videos.html
uma,pdf,present,49029510,papers/uma-uma-ultra-detailed-human-avatars-via-multi-level-surface-alignment.pdf
uma,page,present,15927,pages/uma-uma-ultra-detailed-human-avatars-via-multi-level-surface-alignment.html
lca,pdf,present,32064422,papers/lca-large-scale-codec-avatars-the-unreasonable-effectiveness-of-large-scale-avatar-p.pdf
lca,page,present,52375,pages/lca-large-scale-codec-avatars-the-unreasonable-effectiveness-of-large-scale-avatar-p.html
sceneshine,pdf,present,10002650,papers/sceneshine-sceneshine-illumination-aware-human-scene-gaussian-re-splatting-from-mobile-devi.pdf
sceneshine,page,present,6169,pages/sceneshine-sceneshine-illumination-aware-human-scene-gaussian-re-splatting-from-mobile-devi.html
easyvolcap,pdf,present,4024637,papers/easyvolcap-easyvolcap-accelerating-neural-volumetric-video-research.pdf
easyvolcap,page,present,48233,pages/easyvolcap-easyvolcap-accelerating-neural-volumetric-video-research.html
human_olat,pdf,present,19730222,papers/human_olat-humanolat-a-large-scale-dataset-for-full-body-human-relighting-and-novel-view-sy.pdf
human_olat,page,present,10476,pages/human_olat-humanolat-a-large-scale-dataset-for-full-body-human-relighting-and-novel-view-sy.html
longvolcap,pdf,present,33725821,papers/longvolcap-representing-long-volumetric-video-with-temporal-gaussian-hierarchy.pdf
longvolcap,page,present,46156,pages/longvolcap-representing-long-volumetric-video-with-temporal-gaussian-hierarchy.html
live4d,pdf,missing,,
live4d,page,present,13203,pages/live4d-live4d-a-real-time-capture-system-for-streamable-volumetric-video.html
livevv,pdf,present,3651895,papers/livevv-livevv-human-centered-live-volumetric-video-streaming-system.pdf
livevv,page,present,47988,pages/livevv-livevv-human-centered-live-volumetric-video-streaming-system.html
metastream,pdf,present,2005999,papers/metastream-metastream-live-volumetric-content-capture-creation-delivery-and-rendering-in-re.pdf
metastream,page,present,33973,pages/metastream-metastream-live-volumetric-content-capture-creation-delivery-and-rendering-in-re.html
fvv_live,pdf,present,7785527,papers/fvv_live-fvv-live-a-real-time-free-viewpoint-video-system-with-consumer-electronics-hardw.pdf
fvv_live,page,present,49963,pages/fvv_live-fvv-live-a-real-time-free-viewpoint-video-system-with-consumer-electronics-hardw.html
relightables,pdf,present,100421636,papers/relightables-the-relightables-volumetric-performance-capture-of-humans-with-realistic-relight.pdf
relightables,page,present,9799,pages/relightables-the-relightables-volumetric-performance-capture-of-humans-with-realistic-relight.html
immersive_video_survey,pdf,present,1357833,papers/immersive_video_survey-immersive-video-interaction-system-a-survey.pdf
immersive_video_survey,page,present,434982,pages/immersive_video_survey-immersive-video-interaction-system-a-survey.html
humancentric_vv_framework,pdf,present,2653432,papers/humancentric_vv_framework-a-general-framework-for-gaussian-splatting-based-human-centric-volumetric-videos.pdf
humancentric_vv_framework,page,present,561026,pages/humancentric_vv_framework-a-general-framework-for-gaussian-splatting-based-human-centric-volumetric-videos.html
human_3dgs_survey,pdf,present,471157,papers/human_3dgs_survey-human-reconstruction-using-3d-gaussian-splatting-a-brief-survey.pdf
human_3dgs_survey,page,present,730736,pages/human_3dgs_survey-human-reconstruction-using-3d-gaussian-splatting-a-brief-survey.html
